resource,image_width,image_height
resource/icon/player.png,60,60
resource/icon/guard.png,60,60
resource/icon/club.png,60,60
resource/icon/hit.png,60,60
resource/icon/heal.png,60,60
resource/icon/strong.png,60,60
resource/icon/money.png,60,60
resource/icon/binder.png,60,60
resource/icon/apple.png,60,60
resource/icon/bread.png,60,60
resource/icon/key.png,60,60
resource/icon/screw.png,60,60
resource/icon/robot.png,60,60
resource/icon/model.png,60,60
resource/icon/dunt.png,60,60
resource/icon/escape.png,60,60
resource/icon/room.png,40,40
